mr_section,record_type,objective_id,objective_name,coverage_status,player_facing_cue,player_facing_location,completion_status,notes
MR-001,objective,OBJ-000507,Vigil Enforcer Armor Set,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000508,Arms of Chaos,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000509,Shadowfoot Sanctum,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000510,Spell Knight Armor,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000511,Umbra,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000512,Alternative Armors - Dwarven Mail,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000513,Alternative Armors - Stalhrim Fur,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000514,Dawnfang & Duskfang,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000515,Expanded Crossbow Pack,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000516,Netch Leather Armor,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000517,Alternative Armors - Daedric Mail,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000518,Alternative Armors - Dragonscale,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000519,Alternative Armors - Elven Hunter,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000520,Alternative Armors - Ebony Plate,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000521,Alternative Armors - Steel Soldier,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000522,Dead Man's Dread,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000523,Goblins,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000524,Saints & Seducers,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000525,Hendraheim,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000526,The Gray Cowl Returns!,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000527,Alternative Armors - Daedric Plate,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000528,Alternative Armors - Dragon Plate,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000529,Alternative Armors - Dwarven Plate,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000530,Alternative Armors - Iron,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000531,Alternative Armors - Leather,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000532,Alternative Armors - Orcish Plate,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000533,Alternative Armors - Orcish Scaled,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000534,Alternative Armors - Silver,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000535,Bittercup,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000536,Bloodchill Manor,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000537,Bow of Shadows,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000538,Farming,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000539,Fearsome Fists,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000540,Fishing,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000541,Gallows Hall,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000542,Ghosts of the Tribunal,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000543,Goldbrand,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000544,Headman's Cleaver,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000545,Horse Armor - Elven,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000546,Horse Armor - Steel,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000547,Nchuanthumz: Dwarven Home,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000548,Necromantic Grimoire,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000549,Redguard Elite Armaments,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000550,Staves,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000551,The Cause,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000552,The Contest,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000702,Survival Mode Food and Warmth Consumable Set,planning_introduced,Survival hot-food planning introduced,MR-001,staged_for_later_completion,Player guide introduces Fire Salts and useful hot-food recipes; actual cooking/use cue belongs in later cold-travel or cooking step
MR-001,objective,OBJ-000705,Camping Supplies Crafting System,staged_for_later_craft,Camping Supplies crafted,MR-001,staged_for_later_completion,Player guide gives recipe and material policy; checklist cue belongs when later route actually crafts Camping Supplies
MR-002,summary,,MR-002 row count,summary,Internal coverage summary,Helgen Riverwood And First Survival Loop,31 objective/option rows tracked,Core opening rows plus Alvor Blacksmithing Tutorial The Golden Claw start A Lovely Letter in Faendal favor Embry favor and source-backed nearby holds for Treasure Map I Embershard and Anise; 0 unresolved rows
MR-002,objective,OBJ-000001,Unbound,completed_now,Quest - Unbound; Trophy - Unbound,Helgen Riverwood And First Survival Loop,complete,Player guide completes Unbound after the Helgen cave exit and places standardized quest and trophy cues
MR-002,objective,OBJ-000002,Before the Storm,advanced_not_completed,Before the Storm advanced to Whiterun report,Helgen Riverwood And First Survival Loop,staged_for_mr003_completion,Player guide handles the Riverwood Alvor step; final quest completion cue belongs when the Whiterun Jarl report completes the quest
MR-002,objective,OBJ-000479,Survival Mode,enabled_now,Survival - Survival Mode enabled,Helgen Riverwood And First Survival Loop,complete,Player guide marks Survival Mode only when the post-Helgen prompt is accepted
MR-002,objective,OBJ-002267,Discover Helgen,discovered,Location - Helgen discovered,Helgen Riverwood And First Survival Loop,complete,Player guide confirms the Helgen map marker and gives a fallback if it has not appeared
MR-002,objective,OBJ-002372,Discover The Guardian Stones,discovered,Location - The Guardian Stones discovered,Helgen Riverwood And First Survival Loop,complete,Player guide confirms The Guardian Stones discovery before activating the Warrior Stone
MR-002,objective,OBJ-000788,Standing Stone Power and Ability Choice Set,first_standing_stone_activated,Standing Stone - Warrior Stone activated; Trophy - Blessed,Helgen Riverwood And First Survival Loop,partial_standing_stone_set,Warrior Stone is the opening default and Blessed trophy check; all thirteen Standing Stones and final power selection remain later
MR-002,objective,OBJ-002338,Discover Riverwood,discovered,Location - Riverwood discovered,Helgen Riverwood And First Survival Loop,complete,Player guide requires the Riverwood map marker before leaving the village
MR-002,objective,OBJ-000702,Survival Mode Food and Warmth Consumable Set,support_loop_established,Riverwood food and rest loop established,Helgen Riverwood And First Survival Loop,staged_for_later_hot_food_completion,Player guide buys or carries food and uses indoor sleep policy; hot food cooking or use completion remains later
MR-002,objective,OBJ-000206,The Golden Claw,started_now,The Golden Claw started,Helgen Riverwood And First Survival Loop,active_for_mr004_completion,Player guide starts The Golden Claw during the first Riverwood Trader visit; completion and Sideways tracking occur in the Bleak Falls Barrow section
MR-002,objective,OBJ-000318,A Lovely Letter,completed_now,Quest - A Lovely Letter; Follower - Faendal available; Steward candidate - Faendal available,Helgen Riverwood And First Survival Loop,complete,"Player guide resolves the Riverwood love triangle in Faendal favor during the first Riverwood service loop, preserving Faendal as the Goldenhills steward default and follower option"
MR-002,objective,OBJ-001272,Sven's Fake Letter from Faendal,acquired_and_used_now,Book - Sven's Fake Letter from Faendal acquired,Helgen Riverwood And First Survival Loop,complete,Player guide obtains Sven forged letter first so the route can also show it to Faendal and acquire Faendal counter-letter before resolving the quest in Faendal favor
MR-002,objective,OBJ-001137,Faendal's Fake Letter from Sven,acquired_and_delivered_now,Book - Faendal's Fake Letter from Sven acquired,Helgen Riverwood And First Survival Loop,complete_for_route_handling,Player guide obtains Faendal counter-forged letter and delivers it to Camilla as the main-route A Lovely Letter resolution
MR-002,option,NPCOPT-000104,Faendal personal steward candidate,availability_unlocked,Steward candidate - Faendal available,Helgen Riverwood And First Survival Loop,route_default_staged_not_assigned,"A Lovely Letter is resolved in Faendal favor, preserving the TB-031D Goldenhills steward default; assignment waits for Goldenhills setup"
MR-002,option,NPCOPT-000195,Faendal permanent follower option,availability_unlocked,Follower - Faendal available,Helgen Riverwood And First Survival Loop,option_available_not_recruited,A Lovely Letter in Faendal favor unlocks him as a follower option; player guide leaves him available rather than recruiting him now
MR-002,objective,OBJ-000220,Hero of the People Trophy Set,counter_started,Hero of the People counter 2 of 50,Helgen Riverwood And First Survival Loop,in_progress,Player guide starts the finite miscellaneous objective counter at 2/50 after Blacksmithing Tutorial and A Lovely Letter; Embry drunk favor is not counted under the counter plan
MR-002,objective,OBJ-000348,Alchemy Tutorial,staged_for_mr003,Alchemy Tutorial routed with Arcadia in MR-003,Helgen Riverwood And First Survival Loop,staged_for_mr003_completion,"Retrospective MR-012 correction moves the alchemy tutorial to the first Whiterun Arcadia visit, not Riverwood"
MR-002,objective,OBJ-000349,Blacksmithing Tutorial,completed_now,Quest - Blacksmithing Tutorial,Helgen Riverwood And First Survival Loop,complete,Retrospective MR-012 nearby-objective correction routes the smithing tutorial with Alvor during the first Riverwood visit; Lod is avoided because the unpatched Falkreath giver is bugged
MR-002,objective,OBJ-002752,Hard Worker Trophy Set,staged_for_next_actions,Hard Worker tracking staged,Helgen Riverwood And First Survival Loop,staged_for_mr003_and_later_actions,MR-002 prepares Survival/service routing but does not record a Hard Worker action; MR-003 records wood chopping and later sections must route mining and cooking.
MR-002,objective,OBJ-002762,Chop Wood Representative Activity,tool_access_staged_for_mr003,Woodcutter axe acquired for Whiterun chop wood,Helgen Riverwood And First Survival Loop,staged_for_mr003_completion,Player guide takes Alvor cellar woodcutter axe under Hadvar/Alvor assistance; the actual paid Chop Wood representative completion is routed with Hulda in MR-003
MR-002,objective,OBJ-002767,Quest all Drunks Have Representative Favor,completed_now,Favor - Embry drink favor,Helgen Riverwood And First Survival Loop,complete,Player guide completes the selected Riverwood drunk-favor representative during the first Sleeping Giant Inn stop
MR-002,objective,OBJ-001814,Treasure Map: Treasure Map I,held_for_early_local_cleanup,No player cue,Helgen Riverwood And First Survival Loop,staged_for_early_local_cleanup,"Nearby audit found Treasure Map I south of The Guardian Stones and its Riverwood chest, but the optional bandit combat is held until after first settlement support stabilizes food rest carry and save state."
MR-002,objective,OBJ-000877,Skill Book: Night Falls on Sentinel,held_with_treasure_map_camp,No player cue,Helgen Riverwood And First Survival Loop,staged_for_scholars_insight_window,"The Night Falls on Sentinel copy is colocated with the Treasure Map I camp; local warning belongs when that camp is routed in the early economy/Riverwood loop, and the copy remains closed for Scholar Insight timing."
MR-002,objective,OBJ-000868,Skill Book: The Refugees,not_routed_here,No player cue,Helgen Riverwood And First Survival Loop,staged_for_scholars_insight_window,Nearby audit found a source-listed copy at a separate unmarked camp west of Helgen and south of Guardian Stones; the positive road route does not pass through that camp and skill-book reading waits for Scholar's Insight
MR-002,objective,OBJ-000003,Bleak Falls Barrow,started_not_completed,Bleak Falls Barrow active,Helgen Riverwood And First Survival Loop,staged_for_mr004_completion,The Golden Claw is started in Riverwood but dungeon entry and Dragonstone completion remain in the Bleak Falls Barrow section
MR-002,objective,OBJ-001974,Clear Bleak Falls Barrow,not_routed_here,No player cue,Helgen Riverwood And First Survival Loop,staged_for_mr004_completion,Global Route Discipline covers unrouted dungeon entry; location clear occurs in the Bleak Falls Barrow section
MR-002,objective,OBJ-002031,Clear Embershard Mine,held_for_concrete_route_window,No player cue,Helgen Riverwood And First Survival Loop,staged_for_smith_n_slash_orcish_plate_bundle,Held silently for the Smith N Slash Orcish Plate clear route; UESP notes pre-clearing can reduce guaranteed unenchanted Orcish Plate pickups so no discovery-only partial routing is used here
MR-002,objective,OBJ-002205,Discover Anise's Cabin,held_for_concrete_route_window,No player cue,Helgen Riverwood And First Survival Loop,staged_for_anise_cabin_bundle,Held silently because the route does not need a discovery-only cabin step; cabin storage ownership hostility and skill-book handling should be handled when Anise Cabin is actually routed
MR-002,objective,OBJ-000823,Skill Book: Song of the Alchemists,not_routed_here,No player cue,Helgen Riverwood And First Survival Loop,staged_for_anise_cabin_or_scholars_insight_window,Anise Cabin is not routed as a partial discovery; this skill-book copy stays bundled with later cabin handling and Scholar's Insight read timing
MR-002,objective,OBJ-002740,Invest in Merchant: Alvor,dialogue_only_now,Alvor investment deferred,Helgen Riverwood And First Survival Loop,staged_for_later_investment,Player guide uses Alvor for opening quest dialogue only; investment waits for Speech 70 and Investor
MR-002,objective,OBJ-002741,Invest in Merchant: Lucan Valerius (Camilla Valerius),barter_only_now,Lucan Valerius investment deferred,Helgen Riverwood And First Survival Loop,staged_for_later_investment,Player guide permits early barter only; investment waits for Speech 70 and Investor
MR-003,summary,,MR-003 row count,summary,Internal coverage summary,First Day In Whiterun,65 objective/option rows tracked,First Whiterun geographic city loop routes safe same-city misc objectives Arcadia Alchemy Tutorial Hall of Dead Stone chop wood and counter progress; 0 unresolved rows
MR-003,objective,OBJ-002396,Discover Whiterun Stables,discovered,Location - Whiterun Stables discovered,First Day In Whiterun,complete,Player guide discovers the stable marker but defers horse purchase and carriage use
MR-003,objective,OBJ-002393,Discover Whiterun,discovered,Location - Whiterun discovered,First Day In Whiterun,complete,Player guide discovers the city marker and applies the Amren/Ysolda first-visit warning
MR-003,objective,OBJ-002231,Discover Dragonsreach,discovered,Location - Dragonsreach discovered,First Day In Whiterun,complete,Player guide discovers Dragonsreach during the first Jarl/Farengar/Proventus visit
MR-003,objective,OBJ-000002,Before the Storm,completed_now,Quest - Before the Storm,First Day In Whiterun,complete,Player guide reports Helgen to Jarl Balgruuf and completes the quest
MR-003,objective,OBJ-000003,Bleak Falls Barrow,started_not_completed,Bleak Falls Barrow active,First Day In Whiterun,staged_for_mr004_completion,Player guide accepts the Farengar handoff; dungeon entry and Dragonstone completion remain in the Bleak Falls Barrow section
MR-003,objective,OBJ-000320,Dungeon Delving (Amren's Family Sword),accepted_for_first_visit_safety,Amren's Family Sword favor accepted,First Day In Whiterun,staged_for_later_completion,Player guide accepts the favor before leaving Whiterun but defers the assigned hideout and sword return
MR-003,objective,OBJ-000327,Rare Gifts (Ysolda),held_for_siddgeir_order,Ysolda Mammoth Tusk favor held,First Day In Whiterun,staged_for_later_completion,Player guide does not start Ysolda here because Siddgeir's Black-Briar Mead favor must be completed first under the one-active Rare Gifts rule
MR-003,objective,OBJ-002766,Quest all Beggars Have Representative Favor,completed_now,Favor - Brenuin beggar gift,First Day In Whiterun,complete,Player guide gives Brenuin one gold and confirms Gift of Charity
MR-003,objective,OBJ-002762,Chop Wood Representative Activity,completed_now,Activity - Chop Wood for Hulda,First Day In Whiterun,complete,"Player guide chops firewood behind the Bannered Mare and sells firewood to Hulda, replacing Hod as the practical representative target because it also makes Argonian Ale crime-safe"
MR-003,objective,OBJ-002752,Hard Worker Trophy Set,first_action_completed,Hard Worker wood chopped 1 of 3,First Day In Whiterun,in_progress,Player guide records the wood-chopping action for Hard Worker; mining and cooking remain later explicit actions before trophy completion
MR-003,objective,OBJ-002765,Fight! Fight! Representative Brawl,completed_now,Favor - Uthgerd brawl,First Day In Whiterun,complete,Player guide uses Uthgerd as the controlled no-follower representative brawl
MR-003,objective,OBJ-000220,Hero of the People Trophy Set,counter_advanced,Hero of the People counter 9 of 50,First Day In Whiterun,in_progress,Player guide records nine finite miscellaneous objectives through first Whiterun after adding Blacksmithing Tutorial in MR-002 and Alchemy Tutorial in MR-003; no-journal favors and drunk favors are not counted
MR-003,objective,OBJ-002774,Snake Tongue Trophy Set,conditional_persuade_slot,Snake Tongue Persuade 1 of 3 if Mikael persuade succeeds,First Day In Whiterun,conditional_in_progress_else_later,Player guide tries Mikael Persuade first and records it only if it succeeds; failure falls back to brawl and later route must still schedule a guaranteed persuade slot
MR-003,option,NPCOPT-000200,Uthgerd the Unbroken permanent follower option,availability_unlocked,Follower - Uthgerd the Unbroken available,First Day In Whiterun,option_available_not_recruited,Player guide records follower availability after the brawl and leaves Uthgerd available in Whiterun until follower use is routed.
MR-003,option,NPCOPT-000030,Ysolda spouse candidate default,prerequisite_held,Ysolda spouse default held,First Day In Whiterun,staged_for_later_marriage,Player guide keeps Ysolda as the default spouse candidate but waits to start and complete her Mammoth Tusk prerequisite until after Siddgeir
MR-003,objective,OBJ-001945,Marriage Completion and Spouse Selection Options,default_held,Ysolda spouse default held,First Day In Whiterun,staged_for_later_marriage,Player guide keeps the selected spouse default but does not begin the prerequisite favor yet
MR-003,objective,OBJ-000322,Salt for Arcadia,completed_now,Quest - Salt for Arcadia,First Day In Whiterun,complete,Player guide asks Farengar for the frost-salts delivery while already in Dragonsreach and turns it in at Arcadia Cauldron during the same city loop
MR-003,objective,OBJ-000325,Argonian Ale Extraction,completed_now,Quest - Argonian Ale Extraction,First Day In Whiterun,complete,Player guide starts the quest after Brenuin beggar gift and resolves it crime-safely by chopping/selling firewood to Hulda before taking the Bannered Mare Argonian Ale
MR-003,objective,OBJ-000326,Greatsword for a Great Man,completed_now,Quest - Greatsword for a Great Man,First Day In Whiterun,complete,Player guide accepts Adrianne delivery while entering Whiterun and gives Balgruuf Greatsword to Proventus during the first Dragonsreach visit
MR-003,objective,OBJ-000321,A Few Words with You (Carlotta),completed_now,Quest - A Few Words with You: Carlotta,First Day In Whiterun,complete,Player guide accepts Carlotta market request and resolves Mikael at the Bannered Mare during the same city loop
MR-003,objective,OBJ-000323,Andurs' Arkay Amulet,completed_now,Quest - Andurs' Arkay Amulet,First Day In Whiterun,complete,Player guide routes Hall of the Dead and Whiterun Catacombs now with the ordinary-Amulet-of-Arkay bug mitigation before speaking to Andurs
MR-003,objective,OBJ-000324,Bullying Braith,completed_now,Quest - Bullying Braith,First Day In Whiterun,complete,Player guide handles Lars and Braith during the daytime Whiterun city loop
